"Row","Identifier_1","n","d13C/12C","dC_STDEV","d18O/16O","dO_STDEV","dC_corrected","dO_corrected","dC_mean_intercept","dC_mean_slop","dO_mean_intercept","dO_mean_slop"
57,"S42",6,-7.24383333333333,0.0396403974640911,-5.77216666666667,0.0680800590807943,-7.98576359977912,-4.71645117192502,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
58,"S43",6,-8.06416666666667,0.0384737284101474,-6.397,0.0579033677777036,-8.80562728247238,-5.38764377252822,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
59,"S44",6,-10.6763333333333,0.0383298549146457,-6.93633333333333,0.0559783688381305,-11.416298452495,-5.96699273373172,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
60,"S45",6,-8.46816666666667,0.0371217965321963,-6.117,0.0546808924579693,-9.20939598764273,-5.08686928092689,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
61,"HuL",6,2.94966666666667,0.0592400015004877,-11.8625,0.0593889720402703,2.20190049961182,-11.2586544291248,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
62,"NTUGK2208",5,3.8334,0.0326628229031111,-13.1848,0.0357063019647793,3.15078517419307,-12.5791272657141,-0.703446359935957,1.0054342187429,1.70128798011071,1.08309684225963
63,"S46",6,-8.68333333333333,0.0302926467058336,-6.95333333333333,0.0588368743032614,-9.44349418321975,-5.67443675065213,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
64,"S47",6,-10.8623333333333,0.0249368090269072,-7.12,0.0556650698373765,-11.6474240120503,-5.85643659592836,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
65,"S48",6,-7.55533333333333,0.0178636813426324,-5.706,0.0337925040997754,-8.302588792251,-4.31234990860482,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
66,"S49",6,-8.44833333333333,0.0313014021695158,-6.58883333333333,0.0556737021502174,-9.20580556010126,-5.27640308903301,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
67,"S50",6,-9.23383333333333,0.0312606426321945,-6.83283333333333,0.0524578666910673,-10.0002924258867,-5.54285086251741,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
68,"S51",6,-9.07883333333333,0.0402901283746335,-7.474,0.0709967135389613,-9.84351907872342,-6.24300426729507,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
69,"S52",6,-8.88583333333333,0.0304865179674192,-7.16533333333333,0.0543124704321618,-9.64831097548143,-5.9059405538435,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
70,"S53",6,-9.74933333333333,0.0353616238943358,-6.3725,0.072297879175902,-10.5216902353232,-5.04016728986447,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
71,"S54",6,-8.0575,0.0439034926477002,-7.69633333333333,0.0794907402014712,-8.81050072236164,-6.48579206089357,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
72,"S55",6,-8.75733333333333,0.0462332251861267,-8.285,0.0762596441988377,-9.51834081347834,-7.12861551440921,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
73,"IAEA-603",6,3.0095,0.0321918726803314,-3.99966666666667,0.0593586088486282,2.38311626509505,-2.44903549266677,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
74,"TK-20",6,-7.72083333333333,0.0300126825044199,-7.51883333333333,0.0584119945825436,-8.46998226938338,-6.29196222567438,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
75,"IAEA-CO-8",6,-4.975,0.0353138310958563,-22.5391666666667,0.0445454200164783,-5.69273399571167,-22.6941522816588,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
76,"S56",6,-9.22866666666667,0.0294908648756036,-6.0965,0.0578853752399228,-9.9950666476479,-4.73877554608703,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
77,"S57",6,-9.42516666666667,0.026053044181268,-5.96233333333333,0.045647684619388,-10.1938147942129,-4.59226567063966,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
78,"S58",6,-8.766,0.0460709597613652,-6.40033333333333,0.0550863967882372,-9.52710663504015,-5.0705612640256,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
79,"S59",6,-9.2505,0.0321525011987144,-6.26733333333333,0.0487357956514283,-10.017149775044,-4.92532538749516,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
81,"S61",6,-7.6755,0.0172119144780585,-6.51283333333333,0.0267150602553026,-8.42413027967542,-5.19341115958705,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
82,"S62",6,-7.88916666666667,0.0457248412912621,-6.35083333333333,0.069962569357558,-8.64024149587251,-5.01650730997855,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
83,"S63",6,-8.1025,0.0425932310741194,-6.36283333333333,0.0833648273820827,-8.85601556508646,-5.02961129883844,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
84,"HuL",6,2.94683333333333,0.0386388549404756,-11.7388333333333,0.0542668816539559,2.31973263226346,-10.9001983080685,-0.660815272245774,1.01144094944038,1.91859679427222,1.09199907165738
85,"NTUGK2208",5,3.8506,0.0356098301034981,-13.155,0.0411497266090554,3.21816419247956,-12.5420136004047,-0.660854819239426,1.00738041129148,1.77408952565223,1.08826325549653
86,"S64",6,-7.87716666666667,0.0232614368525344,-7.2355,0.0678826192776914,-8.56421222695607,-6.21751603028108,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
87,"S65",6,-7.98266666666667,0.0328254643700758,-6.1925,0.0479268539895259,-8.67006247357261,-5.08635391105396,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
88,"S66",6,-8.16066666666667,0.0351498379955172,-6.33783333333333,0.0643409753664888,-8.84865341099199,-5.24397189890408,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
89,"S67",6,-7.272,0.0232178092564021,-5.48733333333333,0.0487528916521312,-7.95703648372595,-4.32158131174908,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
90,"S68",6,-7.54733333333333,0.0320392120863031,-5.32416666666667,0.0517644773093587,-8.23328388879787,-4.14462258456414,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
91,"S69",6,-7.79466666666667,0.0335038969541023,-5.494,0.0582849323010102,-8.48143833742181,-4.32881149467799,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
92,"S70",6,-8.02283333333333,0.0344977454979953,-5.70866666666667,0.0602664454273225,-8.71036248847717,-4.56162338498871,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
93,"S71",6,-7.85733333333333,0.0332381975711346,-5.48883333333333,0.042725025193413,-8.54431304947208,-4.32320810290809,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
94,"IAEA-603",6,3.03433333333333,0.0507034953868512,-3.8045,0.0748009581043808,2.38351256883924,-2.49650238592035,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
95,"TK-20",6,-7.78216666666667,0.0309703262997196,-7.25016666666667,0.0528087219227195,-8.46889683900753,-6.23342243272467,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
96,"IAEA-CO-8",6,-5.01666666666667,0.0254959691803321,-22.4381666666667,0.0283400972318571,-5.69421572983171,-22.705225181355,-0.660894366233079,1.00331987314258,1.62958225703224,1.08452743933568
